establishment_status,inspection_date,severity,inspection_year
Pass,2022-06-23,M - Minor,2022
Pass,2023-04-18,S - Significant,2023
Pass,2023-04-18,S - Significant,2023
Pass,2023-04-18,M - Minor,2023
Pass,2023-04-18,M - Minor,2023
Pass,2023-04-18,S - Significant,2023
Pass,2023-04-26,,2023
Pass,2023-09-08,S - Significant,2023
Pass,2023-09-08,M - Minor,2023
Pass,2023-09-08,C - Crucial,2023
Pass,2023-09-08,M - Minor,2023
Pass,2023-09-08,NA - Not Applicable,2023
Pass,2023-09-11,M - Minor,2023
Pass,2022-06-21,,2022
Pass,2023-04-25,S - Significant,2023
Pass,2023-04-25,M - Minor,2023
Pass,2023-04-25,M - Minor,2023
Pass,2022-10-04,M - Minor,2022
Pass,2023-03-21,M - Minor,2023
Pass,2023-03-21,M - Minor,2023
Pass,2023-06-19,M - Minor,2023
Pass,2023-06-19,S - Significant,2023
Pass,2023-06-19,M - Minor,2023
Pass,2023-06-19,M - Minor,2023
Pass,2023-10-06,,2023
Pass,2023-10-23,M - Minor,2023
Pass,2022-07-11,M - Minor,2022
Pass,2022-07-11,M - Minor,2022
Pass,2022-07-11,S - Significant,2022
Pass,2023-12-07,S - Significant,2023
Pass,2023-12-07,S - Significant,2023
Pass,2023-12-07,S - Significant,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-08-23,,2022
Pass,2023-06-05,,2023
Pass,2023-10-27,,2023
Pass,2023-03-09,M - Minor,2023
Pass,2023-08-31,M - Minor,2023
Pass,2023-08-31,M - Minor,2023
Pass,2023-12-14,,2023
Pass,2023-12-12,S - Significant,2023
Pass,2023-12-12,M - Minor,2023
Pass,2023-12-12,S - Significant,2023
Pass,2023-12-12,NA - Not Applicable,2023
Pass,2022-06-29,,2022
Pass,2023-08-30,S - Significant,2023
Pass,2023-08-30,S - Significant,2023
Pass,2023-08-30,NA - Not Applicable,2023
Pass,2023-09-22,,2023
Pass,2023-12-13,C - Crucial,2023
Pass,2023-12-13,S - Significant,2023
Pass,2023-12-13,S - Significant,2023
Pass,2023-12-15,,2023
Pass,2022-06-21,,2022
Pass,2022-11-03,,2022
Pass,2023-02-14,,2023
Pass,2023-11-01,,2023
Pass,2023-12-08,,2023
Pass,2022-07-27,,2022
Pass,2023-11-28,,2023
Pass,2023-11-23,M - Minor,2023
Pass,2022-09-19,M - Minor,2022
Pass,2022-10-28,,2022
Pass,2023-03-08,,2023
Pass,2023-06-30,,2023
Pass,2023-11-30,,2023
Pass,2022-08-09,,2022
Pass,2022-12-12,,2022
Pass,2022-10-18,M - Minor,2022
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-01-31,S - Significant,2023
Pass,2023-01-31,S - Significant,2023
Pass,2023-02-02,,2023
Pass,2023-10-18,S - Significant,2023
Pass,2022-11-22,,2022
Pass,2023-06-12,M - Minor,2023
Pass,2022-11-22,M - Minor,2022
Pass,2022-11-22,M - Minor,2022
Pass,2022-11-22,NA - Not Applicable,2022
Pass,2023-06-12,,2023
Pass,2023-11-13,,2023
Pass,2022-10-20,M - Minor,2022
Pass,2022-10-20,M - Minor,2022
Pass,2023-11-17,M - Minor,2023
Pass,2023-03-30,,2023
Pass,2023-08-25,,2023
Pass,2023-11-17,M - Minor,2023
Pass,2022-06-08,,2022
Pass,2022-12-06,,2022
Pass,2023-06-30,,2023
Pass,2023-12-06,,2023
Pass,2022-05-11,,2022
Pass,2023-02-09,,2023
Pass,2023-07-26,,2023
Pass,2022-11-03,M - Minor,2022
Pass,2022-11-03,M - Minor,2022
Pass,2022-11-03,M - Minor,2022
Pass,2023-03-23,M - Minor,2023
Pass,2023-03-23,S - Significant,2023
Pass,2023-03-23,S - Significant,2023
Pass,2023-07-31,,2023
Pass,2023-12-15,M - Minor,2023
Pass,2023-12-15,M - Minor,2023
Pass,2023-12-15,M - Minor,2023
Pass,2022-12-12,M - Minor,2022
Pass,2022-12-12,M - Minor,2022
Pass,2022-12-12,M - Minor,2022
Pass,2023-11-16,S - Significant,2023
Pass,2023-11-16,M - Minor,2023
Pass,2023-11-16,S - Significant,2023
Pass,2023-11-16,S - Significant,2023
Pass,2023-11-16,M - Minor,2023
