establishment_status,inspection_date,severity
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-04-26,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-01-24,S - Significant
Pass,2022-01-26,
Pass,2022-12-20,M - Minor
Pass,2022-12-20,M - Minor
Pass,2023-04-18,NA - Not Applicable
Pass,2023-04-18,M - Minor
Pass,2023-08-21,M - Minor
Pass,2023-08-21,NA - Not Applicable
Pass,2023-10-18,M - Minor
Pass,2024-01-16,M - Minor
Pass,2022-05-02,
Pass,2023-03-14,
Pass,2023-08-25,NA - Not Applicable
Pass,2023-08-25,M - Minor
Pass,2023-08-25,M - Minor
Pass,2023-08-25,M - Minor
Pass,2023-08-25,S - Significant
Pass,2024-01-22,NA - Not Applicable
Pass,2024-01-22,M - Minor
Pass,2022-08-16,M - Minor
Pass,2023-01-24,
Pass,2023-07-17,M - Minor
Pass,2022-08-10,M - Minor
Pass,2023-01-20,M - Minor
Pass,2023-01-20,M - Minor
Pass,2023-07-04,M - Minor
Pass,2023-07-04,M - Minor
Pass,2022-06-29,M - Minor
Pass,2023-02-21,
Pass,2023-10-27,S - Significant
Pass,2023-10-27,M - Minor
Pass,2022-05-20,S - Significant
Pass,2022-05-20,S - Significant
Pass,2022-05-20,M - Minor
Pass,2022-05-20,S - Significant
Pass,2022-05-26,
Pass,2022-11-22,S - Significant
Pass,2022-11-22,S - Significant
Pass,2022-11-22,M - Minor
Pass,2022-11-22,S - Significant
Pass,2023-04-13,M - Minor
Pass,2023-07-12,
Pass,2023-07-26,S - Significant
Pass,2022-06-16,
Pass,2023-04-26,S - Significant
Pass,2023-07-20,
Pass,2022-06-23,M - Minor
Pass,2022-06-23,M - Minor
Pass,2023-04-18,S - Significant
Pass,2023-04-18,S - Significant
Pass,2023-04-18,S - Significant
Pass,2023-04-18,M - Minor
Pass,2023-04-18,M - Minor
Pass,2023-04-26,
Pass,2023-09-08,C - Crucial
Pass,2023-09-08,M - Minor
Pass,2023-09-08,S - Significant
Pass,2023-09-08,M - Minor
Pass,2023-09-08,NA - Not Applicable
Pass,2023-09-11,M - Minor
Pass,2022-06-21,
Pass,2023-04-25,S - Significant
Pass,2023-04-25,M - Minor
Pass,2023-04-25,M - Minor
Pass,2022-10-04,M - Minor
Pass,2023-03-21,M - Minor
Pass,2023-03-21,M - Minor
Pass,2023-06-19,M - Minor
Pass,2023-06-19,M - Minor
Pass,2023-06-19,S - Significant
Pass,2023-06-19,M - Minor
Pass,2023-10-06,
Pass,2023-10-23,M - Minor
Pass,2022-07-11,M - Minor
Pass,2022-07-11,M - Minor
Pass,2022-07-11,S - Significant
Pass,2023-12-07,S - Significant
Pass,2023-12-07,S - Significant
Pass,2023-12-07,S - Significant
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-08-23,
Pass,2023-06-05,
Pass,2023-10-27,
Pass,2023-03-09,M - Minor
Pass,2023-08-31,M - Minor
Pass,2023-08-31,M - Minor
Pass,2023-12-14,
Pass,2023-12-12,S - Significant
Pass,2023-12-12,M - Minor
Pass,2023-12-12,S - Significant
Pass,2023-12-12,NA - Not Applicable
Pass,2022-06-29,
Pass,2023-08-30,S - Significant
Pass,2023-08-30,S - Significant
Pass,2023-08-30,NA - Not Applicable
Pass,2023-09-22,
Pass,2023-12-13,C - Crucial
Pass,2023-12-13,S - Significant
Pass,2023-12-13,S - Significant
Pass,2023-12-15,
Pass,2022-06-21,
Pass,2022-11-03,
Pass,2023-02-14,
Pass,2023-11-01,
Pass,2023-12-08,
Pass,2022-07-27,
Pass,2023-11-28,
Pass,2023-11-23,M - Minor
Pass,2022-09-19,M - Minor
Pass,2022-10-28,
Pass,2023-03-08,
Pass,2023-06-30,
Pass,2023-11-30,
Pass,2022-08-09,
Pass,2022-12-12,
Pass,2022-10-18,M - Minor
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-01-31,S - Significant
Pass,2023-01-31,S - Significant
Pass,2023-02-02,
Pass,2023-10-18,S - Significant
Pass,2022-11-22,
Pass,2023-06-12,M - Minor
Pass,2022-11-22,NA - Not Applicable
Pass,2022-11-22,M - Minor
Pass,2022-11-22,M - Minor
Pass,2023-06-12,
Pass,2023-11-13,
Pass,2022-10-20,M - Minor
Pass,2022-10-20,M - Minor
Pass,2023-11-17,M - Minor
Pass,2023-03-30,
Pass,2023-08-25,
Pass,2023-11-17,M - Minor
Pass,2022-06-08,
Pass,2022-12-06,
Pass,2023-06-30,
Pass,2023-12-06,
Pass,2022-05-11,
Pass,2023-02-09,
Pass,2023-07-26,
Pass,2022-11-03,M - Minor
Pass,2022-11-03,M - Minor
Pass,2022-11-03,M - Minor
Pass,2023-03-23,M - Minor
Pass,2023-03-23,S - Significant
Pass,2023-03-23,S - Significant
Pass,2023-07-31,
Pass,2023-12-15,M - Minor
Pass,2023-12-15,M - Minor
Pass,2023-12-15,M - Minor
Pass,2022-12-12,M - Minor
Pass,2022-12-12,M - Minor
Pass,2022-12-12,M - Minor
Pass,2023-11-16,S - Significant
Pass,2023-11-16,M - Minor
Pass,2023-11-16,S - Significant
Pass,2023-11-16,S - Significant
Pass,2023-11-16,M - Minor
Pass,2023-11-29,
Pass,2023-09-18,
Pass,2022-08-09,M - Minor
Pass,2022-06-21,M - Minor
Pass,2022-06-21,S - Significant
Pass,2023-01-25,M - Minor
Pass,2023-08-11,M - Minor
Pass,2023-08-11,S - Significant
Pass,2023-08-11,M - Minor
Pass,2023-10-25,M - Minor
Pass,2023-10-25,M - Minor
Pass,2022-10-25,C - Crucial
Pass,2022-10-25,C - Crucial
Pass,2022-10-27,
Pass,2023-03-07,M - Minor
Pass,2023-06-07,C - Crucial
Pass,2023-06-07,S - Significant
Pass,2023-06-07,C - Crucial
Pass,2023-06-27,
Pass,2022-08-19,C - Crucial
Pass,2022-08-19,C - Crucial
Pass,2022-08-19,M - Minor
Pass,2022-08-19,M - Minor
Pass,2022-08-19,S - Significant
Pass,2022-08-23,
Pass,2023-03-20,S - Significant
Pass,2023-03-20,S - Significant
Pass,2023-03-20,M - Minor
Pass,2023-03-20,M - Minor
Pass,2023-03-22,
Pass,2023-07-24,S - Significant
Pass,2023-07-24,M - Minor
Pass,2023-07-24,M - Minor
Pass,2023-12-11,S - Significant
Pass,2023-12-11,M - Minor
Pass,2023-04-27,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-09-26,
Pass,2022-06-21,
Pass,2023-06-22,
Pass,2023-11-08,M - Minor
Pass,2023-11-08,M - Minor
Pass,2022-06-16,
